Key,Name,Type,Description,RadiusOffset,RotationAngle,HitColliderCount,HitColliderAngle,HitColliderSize,Penetration,Speed,DirectionX,DirectionY,Duration,Range,ExtraShotCount,BerserkAttackCount,BerserkExtraShotCount,Damage,AttackTime,CriticalChance,CriticalBonus,AttackSpeed
Laser_Base_Basic,BasicLaserBeam,Base,기본 빔 공격입니다.,0,0,1,0,1,-1,-1,0,0,0.2,-1,0,0,0,8,0.5,5,100,1
Laser_Normal_DamageUp,PowerUp,Normal,데미지가 증가합니다.,0,0,1,0,1,-1,-1,0,0,0.2,-1,0,0,0,10,0.5,5,100,1
Laser_Normal_RangeUp,SizeUp,Normal,빔의 크기가 증가합니다.,0,0,1,0,3,-1,-1,0,0,0.2,-1,0,0,0,8,0.5,5,100,1
Laser_Normal_SpeedUp,AttackSpeedUp,Normal,공격속도가 빨라집니다.,0,0,1,0,1,-1,-1,0,0,0.2,-1,0,0,0,8,0.5,5,100,1.2
Laser_Rare_DamageUp,Critical,Rare,치명타 효율이 증가합니다.,0,0,1,0,1,-1,-1,0,0,0.2,-1,0,0,0,10,0.5,25,200,1
Laser_Rare_RangeUp,MultipleShot,Rare,빔의 갯수가 증가합니다. ,0,0,3,90,3,-1,-1,0,0,0.2,-1,0,0,0,8,0.5,5,100,1
Laser_Rare_SpeedUp,ExtraShot,Rare,추가 공격을 합니다.,0,0,1,0,1,-1,-1,0,0,0.2,-1,1,0,0,8,0.5,5,100,1.2
Rapid_Base_Basic,BasicRapidFire,Base,기본 빠른 사격입니다.,0,0,1,0,1,0,2,0,0,1,5,0,0,0,3,0.2,5,100,4
Rapid_Normal_DamageUp,PowerUp,Normal,데미지가 증가합니다.,0,0,1,0,1,0,2,0,0,1,5,0,0,0,4,0.2,5,100,4
Rapid_Normal_Penetrate,Penetrate,Normal,관통사격을 합니다.,0,0,1,0,1,1,2,0,0,1,5,0,0,0,3,0.2,5,100,4
Rapid_Normal_SpeedUp,AttackSpeedUp,Normal,더 빠른 공격을 합니다.,0,0,1,0,1,0,2,0,0,1,5,0,0,0,3,0.2,5,100,4
Rapid_Rare_DamageUp,RandomDamage,Rare,랜덤데미지가 추가 됩니다.,0,0,1,0,1,0,2,0,0,1,5,0,0,0,4,0.2,5,100,4
Rapid_Rare_Penetrate,LastPang,Rare,관통된 마지막 데미지가 증가합니다.,0,0,1,0,1,1,2,0,0,1,5,0,0,0,3,0.2,5,100,4
Rapid_Rare_SpeedUp,Berserk,Rare,n번째마다 3번 추가 공격합니다.,0,0,1,0,1,0,2,0,0,1,5,0,3,3,3,0.2,5,100,4
ShotGun_Base_Basic,BasicShotGun,Base,기본 산탄 공격입니다.,0,0,5,90,1,0,2,0,0,1,4,0,0,0,3,0.2,5,100,0.8
ShotGun_Normal_DamageUp,PowerUp,Normal,데미지가 증가합니다.,0,0,5,90,1,0,2,0,0,1,4,0,0,0,5,0.2,5,100,0.8
ShotGun_Normal_Multiple,MultipleShot,Normal,산탄총알의 갯수가 증가합니다.,0,0,8,90,1,0,2,0,0,1,4,0,0,0,3,0.2,5,100,0.8
ShotGun_Normal_SpeedUp,AttackSpeedUp,Normal,공격속도가 빨라집니다.,0,0,5,90,1,0,2,0,0,1,4,0,0,0,3,0.2,5,100,1.3
ShotGun_Rare_DamageUp,OppositeCopy,Rare,공격방향 반대편에 똑같은 공격을 합니다.,0,0,5,90,1,0,2,0,0,1,4,0,0,0,5,0.2,5,100,0.8
ShotGun_Rare_Multiple,SizeUp,Rare,탄환의 크기가 커집니다.,0,0,8,120,2,0,2,0,0,1,4,0,0,0,3,0.2,5,100,0.8
ShotGun_Rare_SpeedUp,ExtraShot,Rare,추가 공격을 합니다.,0,0,5,90,1,0,2,0,0,1,4,1,0,0,3,0.2,5,100,1.3
